        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0   1KB   64   1002.0  676.7   672   656   768   688   720      835.0   563.9     560     546     640     573       600            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4KB   64   1002.0  677.0   672   656   784   688   720      835.0   564.2     560     546     653     573       600            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16KB   64   1002.0  677.1   672   656   800   688   720      835.0   564.2     560     546     666     573       600            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 256KB   64   1002.0  677.2   672   656  1200   688   768      835.0   564.3     560     546    1000     573       640            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 512KB   64   1003.0  677.2   672   656   816   688   768      835.8   564.4     560     546     680     573       640            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   1MB   64   1003.0  677.3   672   656  1232   688   768      835.8   564.5     560     546    1026     573       640            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1.5MB   64   1003.0  677.4   672   656  1152   688   768      835.8   564.5     560     546     960     573       640            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   2MB   64   1003.0  677.4   672   656  1088   688   768      835.8   564.5     560     546     906     573       640            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   3MB   64   1026.0  700.5   672   656  1264   784   800      855.0   583.7     560     546    1053     653       666            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4MB   64   1037.0  712.1   688   656  1264   784   800      864.2   593.5     573     546    1053     653       666            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   8MB   64   1146.0  740.1   768   656  1280   784   800      955.0   616.8     640     546    1066     653       666            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16MB   64   1200.0  754.8   768   656  1264   784   816     1000.0   629.0     640     546    1053     653       680            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  32MB   64   1229.0  762.8   768   656  1264   784   816     1024.2   635.6     640     546    1053     653       680            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  64MB   64   1242.0  765.8   768   656  1264   784   816     1035.0   638.2     640     546    1053     653       680            0    2097152

LAT_CMD_WRRD Rand DThrash  0  0   1KB   64   1002.0  676.6   672   656   784   688   720      835.0   563.9     560     546     653     573       600            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4KB   64   1002.0  677.0   672   656   784   688   720      835.0   564.2     560     546     653     573       600            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16KB   64   1003.0  677.1   672   656   816   688   720      835.8   564.2     560     546     680     573       600            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 256KB   64   1002.0  677.2   672   656  1040   688   768      835.0   564.4     560     546     866     573       640            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 512KB   64   1003.0  677.4   672   656   816   688   768      835.8   564.5     560     546     680     573       640            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   1MB   64   1002.0  677.7   672   656  1264   688   784      835.0   564.8     560     546    1053     573       653            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1.5MB   64   1004.0  678.1   672   656  1248   688   784      836.7   565.1     560     546    1040     573       653            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   2MB   64   1004.0  678.4   672   656  1232   688   784      836.7   565.4     560     546    1026     573       653            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   3MB   64   1026.0  701.6   688   656  1264   784   800      855.0   584.7     573     546    1053     653       666            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4MB   64   1038.0  713.0   688   656  1296   784   800      865.0   594.2     573     546    1080     653       666            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   8MB   64   1146.0  740.3   768   656  1280   784   800      955.0   616.9     640     546    1066     653       666            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16MB   64   1201.0  754.7   768   656  1280   784   816     1000.8   628.9     640     546    1066     653       680            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  32MB   64   1229.0  762.8   768   656  1264   784   816     1024.2   635.7     640     546    1053     653       680            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  64MB   64   1242.0  766.2   768   656  1296   784   816     1035.0   638.5     640     546    1080     653       680            0    2097152

LAT_CMD_WRRD Rand   DWarm  0  0   1KB   64   1002.0  676.7   672   656   752   688   720      835.0   563.9     560     546     626     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4KB   64   1002.0  677.0   672   656   752   688   720      835.0   564.2     560     546     626     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  16KB   64   1003.0  677.0   672   656   752   688   720      835.8   564.2     560     546     626     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 256KB   64   1002.0  677.0   672   656   752   688   720      835.0   564.2     560     546     626     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 512KB   64   1002.0  677.0   672   656   752   688   720      835.0   564.2     560     546     626     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   1MB   64   1003.0  677.0   672   656   784   688   720      835.8   564.2     560     546     653     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1.5MB   64   1003.0  677.0   672   656   752   688   720      835.8   564.2     560     546     626     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   2MB   64   1003.0  677.1   672   656   752   688   720      835.8   564.2     560     546     626     573       600            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   3MB   64   1026.0  700.4   688   656  1264   784   800      855.0   583.7     573     546    1053     653       666            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4MB   64   1037.0  712.0   688   656  1280   784   800      864.2   593.3     573     546    1066     653       666            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   8MB   64   1146.0  740.0   768   656  1264   784   800      955.0   616.6     640     546    1053     653       666            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  16MB   64   1200.0  754.5   768   656  1264   784   816     1000.0   628.8     640     546    1053     653       680            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  32MB   64   1228.0  762.4   768   656  1280   784   816     1023.3   635.4     640     546    1066     653       680            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  64MB   64   1241.0  766.1   768   656  1264   784   816     1034.2   638.4     640     546    1053     653       680            0    2097152

LAT_CMD_WRRD Rand   HWarm  0  0   1KB   64   1001.0  676.7   672   656   784   688   720      834.2   563.9     560     546     653     573       600            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   4KB   64   1002.0  677.0   672   656   784   688   720      835.0   564.2     560     546     653     573       600            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  16KB   64   1002.0  677.1   672   656   800   688   720      835.0   564.2     560     546     666     573       600            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 256KB   64   1002.0  677.2   672   656   816   688   768      835.0   564.3     560     546     680     573       640            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 512KB   64   1002.0  677.2   672   656  1136   688   768      835.0   564.3     560     546     946     573       640            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   1MB   64   1002.0  677.4   672   656  1248   688   768      835.0   564.5     560     546    1040     573       640            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 1.5MB   64   1002.0  677.4   672   656  1200   688   768      835.0   564.5     560     546    1000     573       640            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   2MB   64   1002.0  677.4   672   656  1216   688   768      835.0   564.5     560     546    1013     573       640            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   3MB   64   1025.0  700.5   688   656  1280   784   800      854.2   583.7     573     546    1066     653       666            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   4MB   64   1037.0  712.1   688   656  1264   784   800      864.2   593.4     573     546    1053     653       666            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   8MB   64   1146.0  740.1   768   656  1264   784   800      955.0   616.8     640     546    1053     653       666            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  16MB   64   1200.0  754.6   768   656  1264   784   816     1000.0   628.8     640     546    1053     653       680            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  32MB   64   1228.0  762.4   768   656  1280   784   816     1023.3   635.3     640     546    1066     653       680            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  64MB   64   1242.0  766.2   768   656  1264   784   816     1035.0   638.5     640     546    1053     653       680            0    2097152
